Species,Genus,SpeciesPurvis,GenusPurvis,Taxon,Great ape,Innovation,Tool use,Extractive foraging,Social learning,Innovation (Reduced),Tool use (Reduced),Extractive foraging (Reduced),Journal Search Article Count,Zoological Record Article Count,Journal reports (2002 dataset),Innovation (2002 dataset),Social learning  (2002 dataset),Tool use (2002 dataset),
Ateles belzebuth,Ateles,Ateles belzebuth,Ateles,Simian,No,0,0,0,0,0,0,0,4,12,2,0,0,0,
Ateles chamek,Ateles,Ateles chamek,Ateles,Simian,No,0,0,0,0,0,0,0,1,,,,,,
Ateles fusciceps,Ateles,Ateles fusciceps,Ateles,Simian,No,0,0,0,0,0,0,0,2,4,,,,,
Ateles geoffroyi,Ateles,Ateles geoffroyi,Ateles,Simian,No,0,0,0,2,0,0,0,23,58,5,0,2,0,
Ateles paniscus,Ateles,Ateles paniscus,Ateles,Simian,No,0,0,0,0,0,0,0,5,30,2,0,0,0,
Callimico goeldii,Callimico,Callimico goeldii,Callimico,Simian,No,1,0,1,0,0,0,0,19,43,6,1,0,0,
Callithrix argentata,Callithrix,Callithrix argentata,Callithrix,Simian,No,0,0,0,0,0,0,0,3,16,,,,,
Callithrix aurita,Callithrix,Callithrix aurita,Callithrix,Simian,No,0,0,0,0,0,0,0,4,,,,,,
Callithrix flaviceps,Callithrix,Callithrix flaviceps,Callithrix,Simian,No,0,0,0,0,0,0,0,1,,,,,,
Callithrix geoffroyi,Callithrix,Callithrix geoffroyi,Callithrix,Simian,No,0,0,0,0,0,0,0,8,,,,,,
Callithrix humeralifer,Callithrix,Callithrix humeralifer,Callithrix,Simian,No,0,0,0,0,0,0,0,,4,,,,,
Callithrix jacchus,Callithrix,Callithrix jacchus,Callithrix,Simian,No,1,0,2,2,0,0,1,99,161,29,1,1,0,
Callithrix kuhli,Callithrix,Callithrix kuhli,Callithrix,Simian,No,0,0,0,0,0,0,0,21,,,,,,
Callithrix mauesi,Callithrix,Callithrix mauesi,Callithrix,Simian,No,0,0,0,0,0,0,0,1,,,,,,
Callithrix penicillata,Callithrix,Callithrix penicillata,Callithrix,Simian,No,0,0,0,0,0,0,0,1,,,,,,
Callithrix pygmaea,Callithrix,Cebuella pygmaea,Cebuella,Simian,No,1,0,0,0,1,0,0,5,36,3,1,0,0,
