chimpcode,ratercode,sex,community,chimp_YOB,month,day,year,rater_start_year,rater_end_year,chimp_start_year,chimp_end_year,first_expr,last_expr,hpq_midpoint_yr,hpq_age_firstexpr,hpq_age_lastexpr,hpq_midpoint_age,dom.raw,sol.raw,impl.raw,symp.raw,stbl.raw,invt.raw,depd.raw,soc.raw,thotl.raw,help.raw,exct.raw,inqs.raw,decs.raw,indv.raw,reckl.raw,sens.raw,unem.raw,cur.raw,vuln.raw,actv.raw,pred.raw,conv.raw,cool.raw,innov.raw,n_hpq_missing,dom.meansub,sol.meansub,impl.meansub,symp.meansub,stbl.meansub,invt.meansub,depd.meansub,soc.meansub,thotl.meansub,help.meansub,exct.meansub,inqs.meansub,decs.meansub,indv.meansub,reckl.meansub,sens.meansub,unem.meansub,cur.meansub,vuln.meansub,actv.meansub,pred.meansub,conv.meansub,cool.meansub,innov.meansub,chimpcode.1,dominance,extraversion,conscientiousness,agreeableness,neuroticism
K262,O,1,1,1972,10,11,2010,1987,2007,1972,2012,1987,2007,1997,15,35,25,7,2,2,7,1,6,6,5,5,5,7,5,6,2,3,5,2,6,3,5,7,5,5,5,0,7,2,2,7,1,6,6,5,5,5,7,5,6,2,3,5,2,6,3,5,7,5,5,5,K262,5,5.5,6,5.666666667,7
J234,O,1,1,1977,10,11,2010,1987,2007,1977,2012,1987,2007,1997,10,30,20,5,1,2,3,2,5,4,5,1,5,6,5,6,2,5,7,1,5,2,7,6,1,3,5,0,5,1,2,3,2,5,4,5,1,5,6,5,6,2,5,7,1,5,2,7,6,1,3,5,J234,5,6.25,5,5,6
U150,F,0,1,1969,10,13,2010,1980,2009,1969,1983,1980,1983,1981.5,11,14,12.5,1,NA,3,4,6,3,4,4,3,4,2,3,6,7,4,4,6,6,7,7,5,5,4,3,1,1,3.355895197,3,4,6,3,4,4,3,4,2,3,6,7,4,4,6,6,7,7,5,5,4,3,U150,3.666666667,4.161026201,4.666666667,4,2
N319,F,1,1,1969,10,13,2010,1980,2009,1973,2002,1980,2002,1991,11,33,22,7,4,4,5,7,4,7,7,4,7,6,4,7,5,7,7,4,4,5,7,7,5,4,7,0,7,4,4,5,7,4,7,7,4,7,6,4,7,5,7,7,4,4,5,7,7,5,4,7,N319,5,5.25,4,6.333333333,3.5
Q96,F,0,1,1969,10,13,2010,1980,2009,1969,1994,1980,1994,1987,11,25,18,6,7,7,4,4,6,4,4,2,4,6,4,7,7,4,6,4,3,7,4,6,7,7,3,0,6,7,7,4,4,6,4,4,2,4,6,4,7,7,4,6,4,3,7,4,6,7,7,3,Q96,5.666666667,2.5,3.666666667,4.666666667,5
X261,F,0,1,1969,10,13,2010,1980,2009,1983,2007,1983,2007,1995,14,38,26,7,7,6,4,7,5,4,4,3,5,4,4,7,7,1,6,4,5,7,5,4,7,7,4,0,7,7,6,4,7,5,4,4,3,5,4,4,7,7,1,6,4,5,7,5,4,7,7,4,X261,6,2.75,4.333333333,5,2.5
Q461,F,0,1,1970,10,13,2010,1980,2009,1970,2003,1980,2003,1991.5,10,33,21.5,1,7,4,4,6,2,1,1,4,1,2,2,7,7,1,7,4,1,5,6,4,1,4,2,0,1,7,4,4,6,2,1,1,4,1,2,2,7,7,1,7,4,1,5,6,4,1,4,2,Q461,5,2.25,5,4,2
J295,F,0,1,1970,10,13,2010,1980,2009,1970,2012,1980,2009,1994.5,10,39,24.5,7,2,4,6,6,5,5,7,4,7,5,5,7,7,4,6,5,6,7,5,5,4,7,6,0,7,2,4,6,6,5,5,7,4,7,5,5,7,7,4,6,5,6,7,5,5,4,7,6,J295,5.666666667,4.75,4.333333333,6.333333333,3.5
D191,F,1,1,1971,10,13,2010,1980,2009,1971,2012,1980,2009,1994.5,9,38,23.5,7,4,7,7,7,7,7,7,4,7,6,4,7,7,7,7,7,4,5,4,5,4,7,7,0,7,4,7,7,7,7,7,7,4,7,6,4,7,7,7,7,7,4,5,4,5,4,7,7,D191,5,4,2.333333333,7,3.5
W359,F,0,1,1970,10,13,2010,1980,2009,1992,2010,1992,2009,2000.5,22,39,30.5,4,7,7,4,7,4,4,7,4,5,5,4,7,6,2,5,4,4,6,7,4,5,5,4,0,4,7,7,4,7,4,4,7,4,5,5,4,7,6,2,5,4,4,6,7,4,5,5,4,W359,5,4.25,3.666666667,4.666666667,3
